                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.4968,0.55,1,1.4129,0.00023593,0.00023593,0.00023593
2,1.0302,0.7,1,1.263,0.00046455,0.00046455,0.00046455
3,0.84627,0.74565,1,1.201,0.00068374,0.00068374,0.00068374
4,0.80056,0.74565,1,1.2023,0.00067159,0.00067159,0.00067159
5,0.70474,0.74565,1,1.1951,0.00067159,0.00067159,0.00067159
6,0.64715,0.75,1,1.1849,0.00065745,0.00065745,0.00065745
7,0.63311,0.77174,1,1.1781,0.00064331,0.00064331,0.00064331
8,0.63381,0.75,1,1.1672,0.00062918,0.00062918,0.00062918
9,0.56497,0.71739,1,1.1795,0.00061504,0.00061504,0.00061504
10,0.5842,0.75,1,1.1742,0.0006009,0.0006009,0.0006009
11,0.57617,0.73696,1,1.1776,0.00058677,0.00058677,0.00058677
12,0.55071,0.72391,1,1.1847,0.00057263,0.00057263,0.00057263
13,0.50666,0.73696,1,1.1735,0.00055849,0.00055849,0.00055849
14,0.50737,0.74565,1,1.1628,0.00054435,0.00054435,0.00054435
15,0.46697,0.75435,1,1.1638,0.00053022,0.00053022,0.00053022
16,0.47294,0.76522,1,1.1604,0.00051608,0.00051608,0.00051608
17,0.47195,0.74783,1,1.1734,0.00050194,0.00050194,0.00050194
18,0.44882,0.76957,1,1.1543,0.0004878,0.0004878,0.0004878
19,0.42351,0.75,1,1.173,0.00047367,0.00047367,0.00047367
20,0.42643,0.76522,1,1.1686,0.00045953,0.00045953,0.00045953
21,0.43328,0.76304,1,1.1622,0.00044539,0.00044539,0.00044539
22,0.38789,0.76957,1,1.1648,0.00043126,0.00043126,0.00043126
23,0.42511,0.76739,1,1.1517,0.00041712,0.00041712,0.00041712
24,0.36038,0.75652,1,1.1572,0.00040298,0.00040298,0.00040298
25,0.36131,0.75652,1,1.159,0.00038884,0.00038884,0.00038884
26,0.34912,0.75217,1,1.1596,0.00037471,0.00037471,0.00037471
27,0.35714,0.76304,1,1.1494,0.00036057,0.00036057,0.00036057
28,0.34877,0.74783,1,1.1561,0.00034643,0.00034643,0.00034643
29,0.3477,0.77391,1,1.1422,0.0003323,0.0003323,0.0003323
30,0.34631,0.7587,1,1.1568,0.00031816,0.00031816,0.00031816
31,0.34289,0.74565,1,1.1562,0.00030402,0.00030402,0.00030402
32,0.30536,0.74565,1,1.1549,0.00028988,0.00028988,0.00028988
33,0.34149,0.76739,1,1.1506,0.00027575,0.00027575,0.00027575
34,0.30556,0.75652,1,1.1456,0.00026161,0.00026161,0.00026161
35,0.30451,0.75217,1,1.1465,0.00024747,0.00024747,0.00024747
36,0.30683,0.76087,1,1.1645,0.00023334,0.00023334,0.00023334
37,0.3127,0.76522,1,1.1558,0.0002192,0.0002192,0.0002192
38,0.30696,0.76739,1,1.1497,0.00020506,0.00020506,0.00020506
39,0.33183,0.75652,1,1.1603,0.00019092,0.00019092,0.00019092
40,0.2852,0.75217,1,1.1594,0.00017679,0.00017679,0.00017679
41,0.30309,0.75,1,1.149,0.00016265,0.00016265,0.00016265
42,0.27908,0.76522,1,1.148,0.00014851,0.00014851,0.00014851
43,0.25837,0.76087,1,1.1475,0.00013437,0.00013437,0.00013437
44,0.26635,0.76957,1,1.1556,0.00012024,0.00012024,0.00012024
45,0.27725,0.76304,1,1.1541,0.0001061,0.0001061,0.0001061
46,0.28,0.74783,1,1.1608,9.20E-05,9.20E-05,9.20E-05
47,0.25813,0.76522,1,1.1471,7.78E-05,7.78E-05,7.78E-05
48,0.22666,0.77174,1,1.1536,6.37E-05,6.37E-05,6.37E-05
49,0.25026,0.77826,1,1.1465,4.96E-05,4.96E-05,4.96E-05
50,0.246,0.76739,1,1.1426,3.54E-05,3.54E-05,3.54E-05
